Time (sec),Center,V
0.0015,ca,0.00014783829225613207
0.0015,cb,0.0002079379225868253
0.003,ca,0.0001428002176329723
0.003,cb,0.0002079379225868253
0.0045000000000000005,ca,0.00013737467082056674
0.0045000000000000005,cb,0.0002079379225868253
0.006,ca,0.00012823567013096378
0.006,cb,0.0002079379225868253
0.007500000000000001,ca,0.00012207706270441794
0.007500000000000001,cb,0.0002079379225868253
0.009000000000000001,ca,0.00012206814469048238
0.009000000000000001,cb,0.0002079379225868253
0.0105,ca,0.00012206011847794038
0.0105,cb,0.0002079379225868253
0.012,ca,0.00011816287603784055
0.012,cb,0.0002079379225868253
0.0135,ca,0.00011659159289448704
0.0135,cb,0.0002079379225868253
0.015000000000000001,ca,0.00011542818432299226
0.015000000000000001,cb,0.0002079379225868253
0.0165,ca,0.00011410636770988364
0.0165,cb,0.0002079379225868253
0.018000000000000002,ca,0.00011063465540779279
0.018000000000000002,cb,0.0002079379225868253
0.0195,ca,0.00010632279410227665
0.0195,cb,0.0002079379225868253
0.021,ca,0.00010189243678952876
0.021,cb,0.0002079379225868253
0.022500000000000003,ca,9.795870681478205e-05
0.022500000000000003,cb,0.0002079379225868253
0.024,ca,9.441674536663129e-05
0.024,cb,0.0002079379225868253
0.025500000000000002,ca,9.327127867998395e-05
0.025500000000000002,cb,0.0002079379225868253
0.027,ca,9.318489390294785e-05
0.027,cb,0.0002079379225868253
0.0285,ca,9.185110381428212e-05
0.0285,cb,0.0002079379225868253
0.030000000000000002,ca,9.250447245913473e-05
0.030000000000000002,cb,0.0002079379225868253
0.0315,ca,9.309250423950206e-05
0.0315,cb,0.0002079379225868253
0.033,ca,8.954554712792937e-05
0.033,cb,0.0002079379225868253
0.0345,ca,9.101502637414414e-05
0.0345,cb,0.0002079379225868253
0.036000000000000004,ca,9.233755769573743e-05
0.036000000000000004,cb,0.0002079379225868253
0.0375,ca,9.349866018065058e-05
0.0375,cb,0.0002079379225868253
0.039,ca,9.45436524170724e-05
0.039,cb,0.0002079379225868253
0.0405,ca,9.399927698897766e-05
0.0405,cb,0.0002079379225868253
0.042,ca,9.35093391036924e-05
0.042,cb,0.0002079379225868253
0.043500000000000004,ca,9.326971507788536e-05
0.043500000000000004,cb,0.0002079379225868253
0.045000000000000005,ca,9.194947718065024e-05
0.045000000000000005,cb,0.0002079379225868253
0.0465,ca,8.908141458951396e-05
0.0465,cb,0.0002079379225868253
0.048,ca,8.690010396614926e-05
0.048,cb,0.0002079379225868253
0.0495,ca,8.479921479452165e-05
0.0495,cb,0.0002079379225868253
0.051000000000000004,ca,8.34838033165552e-05
0.051000000000000004,cb,0.0002079379225868253
0.052500000000000005,ca,8.484661479087422e-05
0.052500000000000005,cb,0.0002079379225868253
0.054,ca,8.824827036467118e-05
0.054,cb,0.0002079379225868253
0.0555,ca,9.130976038108843e-05
0.0555,cb,0.0002079379225868253
0.057,ca,9.130976038108843e-05
0.057,cb,0.00020628412336663556
0.0585,ca,9.130976038108843e-05
0.0585,cb,0.0002393102757988745
0.060000000000000005,ca,9.130976038108843e-05
0.060000000000000005,cb,0.0002688098338473528
0.061500000000000006,ca,9.130976038108843e-05
0.061500000000000006,cb,0.000260049833164955
0.063,ca,9.803665430669458e-05
0.063,cb,0.000260049833164955
0.0645,ca,9.803665430669458e-05
0.0645,cb,0.0002752198485186453
0.066,ca,9.803665430669458e-05
0.066,cb,0.00028748771633485337
0.0675,ca,0.00010599120468744157
0.0675,cb,0.00028748771633485337
0.069,ca,0.00011088175525794455
0.069,cb,0.00028748771633485337
0.07050000000000001,ca,0.000112678849666122
0.07050000000000001,cb,0.00028748771633485337
0.07200000000000001,ca,0.00011314366284750118
0.07200000000000001,cb,0.00028748771633485337
0.07350000000000001,ca,0.00011034550069588394
0.07350000000000001,cb,0.00028748771633485337
0.075,ca,0.00010513139179303292
0.075,cb,0.00028748771633485337
0.0765,ca,0.0001015095231330334
0.0765,cb,0.00028748771633485337
0.078,ca,9.944611197059328e-05
0.078,cb,0.00028748771633485337
0.0795,ca,9.967994310708739e-05
0.0795,cb,0.00028748771633485337
0.081,ca,9.989039112993208e-05
0.081,cb,0.00028748771633485337
0.0825,ca,9.623342115391201e-05
0.0825,cb,0.00028748771633485337
0.084,ca,9.152232446605974e-05
0.084,cb,0.00028748771633485337
0.0855,ca,8.722063551680804e-05
0.0855,cb,0.00028748771633485337
0.08700000000000001,ca,8.379891202780105e-05
0.08700000000000001,cb,0.00028748771633485337
0.08850000000000001,ca,8.27820484220251e-05
0.08850000000000001,cb,0.00028748771633485337
0.09000000000000001,ca,8.186687117682676e-05
0.09000000000000001,cb,0.00028748771633485337
0.0915,ca,8.06444152973777e-05
0.0915,cb,0.00028748771633485337
0.093,ca,7.7798847314789e-05
0.093,cb,0.00028748771633485337
0.0945,ca,7.623997935435202e-05
0.0945,cb,0.00028748771633485337
0.096,ca,7.44828878808778e-05
0.096,cb,0.00028748771633485337
0.0975,ca,7.477571446086283e-05
0.0975,cb,0.00028748771633485337
0.099,ca,7.507611609300362e-05
0.099,cb,0.00028748771633485337
0.1005,ca,8.154597085433725e-05
0.1005,cb,0.00028748771633485337
0.10200000000000001,ca,8.736884013953752e-05
0.10200000000000001,cb,0.00028748771633485337
0.10350000000000001,ca,8.733578970587219e-05
0.10350000000000001,cb,0.00028748771633485337
0.10500000000000001,ca,8.882638104402953e-05
0.10500000000000001,cb,0.00028748771633485337
0.10650000000000001,ca,9.301491151834958e-05
0.10650000000000001,cb,0.00028748771633485337
0.108,ca,9.693009569500247e-05
0.108,cb,0.00028748771633485337
0.1095,ca,9.833443791815142e-05
0.1095,cb,0.00028748771633485337
0.111,ca,9.495229727544454e-05
0.111,cb,0.00028748771633485337
0.1125,ca,9.209054949658648e-05
0.1125,cb,0.00028748771633485337
0.114,ca,8.908589375252683e-05
0.114,cb,0.00028748771633485337
0.1155,ca,8.689482726427435e-05
0.1155,cb,0.00028748771633485337
0.117,ca,8.382729180170705e-05
0.117,cb,0.00028748771633485337
0.11850000000000001,ca,8.087617960914483e-05
0.11850000000000001,cb,0.00028748771633485337
0.12000000000000001,ca,7.863982713606879e-05
0.12000000000000001,cb,0.00028748771633485337
0.12150000000000001,ca,7.798991261008054e-05
0.12150000000000001,cb,0.00028748771633485337
0.12300000000000001,ca,7.979601054704543e-05
0.12300000000000001,cb,0.00028748771633485337
0.1245,ca,8.209147302148533e-05
0.1245,cb,0.00028748771633485337
0.126,ca,8.196732355672613e-05
0.126,cb,0.00028748771633485337
0.1275,ca,8.09749138883159e-05
0.1275,cb,0.00028748771633485337
0.129,ca,8.208519001337035e-05
0.129,cb,0.00028748771633485337
0.1305,ca,8.308443852591936e-05
0.1305,cb,0.00028748771633485337
0.132,ca,8.468572053552139e-05
0.132,cb,0.00028748771633485337
0.1335,ca,8.626680033062202e-05
0.1335,cb,0.00028748771633485337
0.135,ca,8.639492481338952e-05
0.135,cb,0.00028748771633485337
0.1365,ca,8.52426186933904e-05
0.1365,cb,0.00028748771633485337
0.138,ca,8.459724300342697e-05
0.138,cb,0.00028748771633485337
0.1395,ca,8.318535925379452e-05
0.1395,cb,0.00028748771633485337
0.14100000000000001,ca,8.742880139406324e-05
0.14100000000000001,cb,0.00028748771633485337
0.14250000000000002,ca,9.384757642823064e-05
0.14250000000000002,cb,0.00028748771633485337
0.14400000000000002,ca,9.83614036226648e-05
0.14400000000000002,cb,0.00028748771633485337
0.14550000000000002,ca,9.828598390406964e-05
0.14550000000000002,cb,0.00028748771633485337
0.14700000000000002,ca,9.752231635583739e-05
0.14700000000000002,cb,0.00028748771633485337
0.14850000000000002,ca,9.683501556242837e-05
0.14850000000000002,cb,0.00028748771633485337
0.15,ca,9.431015738128428e-05
0.15,cb,0.00028748771633485337
0.1515,ca,9.071510457121233e-05
0.1515,cb,0.00028748771633485337
0.153,ca,8.601163234075299e-05
0.153,cb,0.00028748771633485337
0.1545,ca,8.384214543096885e-05
0.1545,cb,0.00028748771633485337
0.156,ca,8.240767712847974e-05
0.156,cb,0.00028748771633485337
0.1575,ca,8.040733566342616e-05
0.1575,cb,0.00028748771633485337
0.159,ca,7.865064902304101e-05
0.159,cb,0.00028748771633485337
0.1605,ca,7.70959599354939e-05
0.1605,cb,0.00028748771633485337
0.162,ca,7.566874210511402e-05
0.162,cb,0.00028748771633485337
0.1635,ca,7.407899246948049e-05
0.1635,cb,0.00028748771633485337
0.165,ca,8.07190478139874e-05
0.165,cb,0.00028748771633485337
0.1665,ca,8.669509762404362e-05
0.1665,cb,0.00028748771633485337
0.168,ca,8.550126344098307e-05
0.168,cb,0.00028748771633485337
0.1695,ca,8.311048452929197e-05
0.1695,cb,0.00028748771633485337
0.171,ca,8.11511775780649e-05
0.171,cb,0.00028748771633485337
0.17250000000000001,ca,7.850777069428992e-05
0.17250000000000001,cb,0.00028748771633485337
0.17400000000000002,ca,7.835872897445857e-05
0.17400000000000002,cb,0.00028748771633485337
0.17550000000000002,ca,8.236709892636731e-05
0.17550000000000002,cb,0.00028748771633485337
0.17700000000000002,ca,8.810750060096171e-05
0.17700000000000002,cb,0.00028748771633485337
0.17850000000000002,ca,9.652441034195415e-05
0.17850000000000002,cb,0.00028748771633485337
0.18000000000000002,ca,0.00010409962910884735
0.18000000000000002,cb,0.00028748771633485337
0.18150000000000002,ca,0.00010269305122467279
0.18150000000000002,cb,0.00028748771633485337
0.183,ca,0.00010019626612340584
0.183,cb,0.00028748771633485337
0.1845,ca,9.779872221368541e-05
0.1845,cb,0.00028748771633485337
0.186,ca,9.564093269493703e-05
0.186,cb,0.00028748771633485337
0.1875,ca,9.156452556659592e-05
0.1875,cb,0.00028748771633485337
0.189,ca,8.951783207600246e-05
0.189,cb,0.00028748771633485337
0.1905,ca,8.928802675078326e-05
0.1905,cb,0.00028748771633485337
0.192,ca,9.019285644333112e-05
0.192,cb,0.00028748771633485337
0.1935,ca,9.002256789205325e-05
0.1935,cb,0.00028748771633485337
