window,id_e,w1,w2
0,0,0.2389402,0.85328186
0,1,0.5880328,0.50488305
0,2,0.631353,0.46125388
0,3,0.7372276,0.35399422
1,4,0.8774288,0.90860456
1,5,0.89118963,0.90404487
1,6,0.9189512,0.8943645
1,7,0.9152217,0.8961384
2,8,0.93891114,0.8469982
2,9,0.86937535,0.87197316
2,10,0.9273618,0.8513572
2,11,0.74571884,0.9165358
3,12,0.91801226,0.14796627
3,13,0.4447498,0.88855803
3,14,0.91784,0.15117878
3,15,0.38584468,0.98424965
4,16,0.93800396,0.85379684
4,17,0.73678267,0.92382056
4,18,0.95009893,0.84959984
4,19,0.8733792,0.87627864
5,20,0.9937209,0.9923273
5,21,0.9903886,0.99343807
5,22,0.99371547,0.9923291
5,23,0.99287784,0.9926083
6,24,0.9253782,0.9191015
6,25,0.95461285,0.90908563
6,26,0.86223674,0.9407032
6,27,0.93980455,0.91413265
